method_enc,team_size,budget_ratio,progress,velocity,open_tickets,absences,overscoped,team_issues,tech_debt,scope_creep,key_person_risk,unclear_requirements,meetings_per_week,doc_score,duration_planned,sprints_count,ai_score,delay_days,overrun_pct,success,risk_category,methodology,sector,budget
2,16,0.916,73,56,10,0,1,0,0,1,0,1,2,2.5,218,15,3.9,39,0.0,0,3,Scrum,E-commerce,443000.0
0,4,0.536,61,97,1,2,1,1,0,0,0,0,4,7.0,164,11,7.2,0,0.0,1,1,Agile,IT,518000.0
2,23,0.607,51,56,11,1,1,0,0,0,0,0,2,8.2,339,24,6.5,0,0.0,1,1,Scrum,Telecom,335000.0
1,10,0.959,46,63,3,0,1,0,0,1,1,0,1,9.0,330,23,3.0,47,0.0,0,3,Kanban,E-commerce,188000.0
3,23,0.261,34,56,0,2,0,0,0,0,0,0,2,6.6,256,18,7.7,0,0.0,1,0,Waterfall,Logistique,534000.0
1,5,0.634,29,47,24,1,0,0,0,0,0,1,3,1.7,356,25,5.2,34,0.0,0,2,Kanban,Santé,567000.0
3,4,0.592,17,23,17,4,0,0,0,1,1,1,3,1.1,166,11,1.9,60,0.0,0,3,Waterfall,IT,19000.0
2,20,0.874,65,84,0,0,1,0,0,1,0,0,0,10.0,82,5,6.2,0,0.0,1,1,Scrum,IT,413000.0
2,20,0.68,55,87,13,3,0,0,1,0,1,0,2,4.1,228,16,6.0,0,0.0,1,1,Scrum,Santé,219000.0
2,6,0.588,59,95,10,3,0,0,0,0,0,0,2,5.2,38,2,7.8,0,0.0,1,0,Scrum,Industrie,542000.0
1,17,0.702,42,61,14,0,1,0,0,0,0,0,4,8.6,190,13,6.4,0,0.0,1,1,Kanban,Santé,597000.0
1,2,0.572,86,112,0,3,0,1,0,0,0,0,2,7.6,346,24,8.7,0,0.0,1,0,Kanban,E-commerce,352000.0
2,22,0.676,40,61,10,1,0,0,0,0,1,0,3,8.6,190,13,7.5,0,0.0,1,0,Scrum,E-commerce,127000.0
3,8,0.455,10,22,3,8,0,1,1,0,1,1,3,1.4,276,19,1.0,65,0.0,0,3,Waterfall,Logistique,187000.0
2,23,0.478,98,88,10,0,0,0,0,0,1,1,3,3.3,130,9,8.6,0,0.0,1,0,Scrum,Education,329000.0
2,22,0.748,66,47,21,0,0,0,1,1,0,0,2,6.1,156,11,5.2,43,0.0,0,2,Scrum,E-commerce,62000.0
2,22,0.675,83,116,7,5,1,0,0,0,1,0,4,9.1,318,22,7.1,0,0.0,1,1,Scrum,Logistique,292000.0
3,2,0.267,61,58,0,2,0,0,0,0,0,0,3,9.8,208,14,8.4,0,0.0,1,0,Waterfall,Santé,283000.0
2,10,0.597,94,95,2,2,0,0,0,0,1,0,2,5.8,343,24,9.9,0,0.0,1,0,Scrum,Santé,305000.0
0,13,0.273,53,55,14,0,0,0,0,0,0,1,3,0.6,42,3,5.6,0,0.0,0,2,Agile,E-commerce,266000.0
2,4,0.552,78,89,9,2,1,0,1,0,0,0,1,7.4,82,5,6.3,0,0.0,1,1,Scrum,E-commerce,367000.0
2,3,0.555,46,86,0,0,0,0,0,0,0,0,3,5.6,194,13,8.8,0,0.0,1,0,Scrum,Finance,63000.0
1,14,0.346,40,67,9,2,0,0,0,0,0,0,4,7.2,155,11,7.6,0,0.0,1,0,Kanban,E-commerce,252000.0
0,16,0.466,63,54,0,3,0,0,0,1,0,1,2,1.6,43,3,5.5,0,0.0,0,2,Agile,Finance,383000.0
2,23,0.514,66,95,9,2,0,1,0,0,0,0,3,9.1,230,16,7.8,0,0.0,1,0,Scrum,Santé,34000.0
0,12,0.764,65,91,5,6,0,1,1,1,1,1,3,1.8,92,6,3.1,48,0.0,0,3,Agile,IT,363000.0
2,14,0.698,43,66,31,5,0,1,0,1,0,0,3,6.3,398,28,3.2,51,0.0,0,3,Scrum,E-commerce,136000.0
1,16,0.612,46,25,18,0,0,0,0,0,0,0,2,7.7,337,24,6.3,0,0.0,1,1,Kanban,Finance,271000.0
2,24,0.643,72,107,0,2,1,0,0,0,0,0,2,7.1,124,8,7.9,0,0.0,1,0,Scrum,Education,90000.0
1,15,0.54,14,40,15,1,1,0,0,0,1,0,4,8.4,107,7,4.2,46,0.0,0,3,Kanban,Industrie,228000.0
1,14,0.65,25,47,4,0,1,0,0,0,0,1,2,2.9,216,15,4.6,36,0.0,0,2,Kanban,Finance,51000.0
2,14,0.413,61,102,8,0,0,0,0,0,0,0,3,7.0,97,6,9.0,0,0.0,1,0,Scrum,IT,362000.0
2,2,0.832,45,69,6,1,1,1,0,1,0,1,4,3.4,306,21,3.0,49,0.0,0,3,Scrum,IT,19000.0
3,3,0.462,9,40,21,0,1,0,0,0,0,0,2,7.5,55,3,4.0,45,0.0,0,3,Waterfall,IT,341000.0
2,6,0.955,55,89,10,2,1,1,1,1,0,0,4,6.1,201,14,1.9,61,0.0,0,3,Scrum,Finance,52000.0
2,9,0.76,62,84,16,1,1,1,1,0,0,0,2,3.0,258,18,4.0,51,0.0,0,3,Scrum,E-commerce,499000.0
2,16,0.725,74,82,7,3,1,0,0,0,1,0,1,5.0,338,24,5.3,41,0.0,0,2,Scrum,IT,240000.0
0,23,0.426,79,78,24,1,0,0,0,0,0,0,3,9.8,188,13,8.8,0,0.0,1,0,Agile,IT,495000.0
2,16,0.866,71,83,7,1,1,0,0,0,1,0,2,7.8,392,28,5.3,42,0.0,0,2,Scrum,Education,183000.0
3,10,0.421,81,95,10,5,0,1,0,0,1,0,2,9.3,286,20,6.2,0,0.0,1,1,Waterfall,Logistique,556000.0
1,13,0.535,29,61,7,0,0,0,0,0,0,1,1,3.0,211,15,6.6,0,0.0,1,1,Kanban,Santé,549000.0
1,24,0.477,11,53,0,4,0,0,0,0,0,0,2,6.4,240,17,6.3,0,0.0,1,1,Kanban,E-commerce,265000.0
2,8,0.396,53,92,4,2,0,1,1,0,0,1,1,0.8,295,21,5.6,0,0.0,0,2,Scrum,Education,456000.0
2,15,0.339,71,71,0,7,0,1,0,0,1,1,3,2.1,331,23,5.3,32,0.0,0,2,Scrum,Logistique,368000.0
1,21,0.623,41,36,14,0,0,0,0,0,0,1,0,5.4,285,20,6.1,0,0.0,1,1,Kanban,Industrie,380000.0
1,10,0.478,24,31,28,2,0,1,0,0,0,0,2,5.8,264,18,3.5,50,0.0,0,3,Kanban,Education,97000.0
2,7,0.579,97,107,2,0,1,0,0,0,0,1,2,0.3,127,9,8.0,0,0.0,1,0,Scrum,Santé,443000.0
2,8,0.387,85,115,0,2,0,0,0,1,0,0,3,6.9,339,24,10.0,0,0.0,1,0,Scrum,IT,372000.0
3,8,0.576,43,67,20,3,0,0,0,0,1,0,3,7.1,258,18,6.1,0,0.0,1,1,Waterfall,Finance,59000.0
0,16,0.564,52,65,7,0,0,0,0,0,0,1,2,4.2,394,28,8.0,0,0.0,1,0,Agile,Industrie,421000.0
2,19,0.512,55,79,0,4,1,1,1,0,0,0,3,7.5,132,9,5.0,37,0.0,0,2,Scrum,Santé,321000.0
0,8,0.58,46,90,0,0,0,0,0,0,0,0,1,8.4,58,4,8.6,0,0.0,1,0,Agile,Santé,21000.0
2,6,0.646,51,61,10,5,0,1,1,0,1,0,4,8.7,222,15,4.3,40,0.0,0,3,Scrum,Telecom,40000.0
3,22,0.933,22,38,27,4,1,1,0,0,1,0,3,7.6,395,28,1.0,64,0.0,0,3,Waterfall,Telecom,501000.0
1,5,0.265,45,49,10,1,0,0,0,0,1,0,2,8.8,127,9,6.8,0,0.0,1,1,Kanban,IT,354000.0
0,14,0.771,48,59,25,0,1,0,0,0,0,0,1,8.0,110,7,4.8,35,0.0,0,2,Agile,Logistique,538000.0
2,11,0.614,58,66,12,3,0,0,1,0,1,0,2,7.3,184,13,6.0,0,0.0,1,1,Scrum,E-commerce,77000.0
1,3,0.574,47,58,5,3,0,1,0,0,0,1,3,4.4,373,26,6.0,0,0.0,1,1,Kanban,Education,386000.0
1,19,0.685,66,51,17,0,0,0,0,1,0,0,1,7.2,221,15,7.2,0,0.0,1,1,Kanban,Telecom,525000.0
3,21,0.755,72,70,7,1,1,0,1,0,0,0,3,5.7,204,14,5.9,0,0.0,0,2,Waterfall,Santé,506000.0
2,13,0.855,45,56,25,5,1,1,1,0,0,1,2,0.3,237,16,1.0,69,0.0,0,3,Scrum,IT,344000.0
2,9,0.794,59,60,17,0,1,0,0,0,0,0,2,7.1,234,16,5.6,0,0.0,0,2,Scrum,Finance,197000.0
